Rank Name "Market Value"
1 BTC "$ 217.03 B"
2 TNCC "$ 101.97 B"
3 ETH "$ 44.28 B"
4 XRP "$ 30.23 B"
5 CRO "$ 16.24 B"
6 LINK "$ 9.62 B"
7 HYN "$ 8.20 B"
8 USDT "$ 6.76 B"
9 HMR "$ 4.92 B"
10 BCH "$ 5.71 B"
11 AION "$ 3.49 B"
12 NYE "$ 3.66 B"
13 ADA "$ 3.73 B"
14 BSV "$ 4.35 B"
15 LTC "$ 3.87 B"
16 BNB "$ 3.54 B"
17 EOS "$ 3.14 B"
18 XTZ "$ 2.61 B"
19 HT "$ 2.43 B"
20 CTAG "$ 2.23 B"
21 XLM "$ 2.13 B"
22 COMP "$ 1.36 B"
23 OKB "$ 1.82 B"
24 HEDG "$ 2.09 B"
25 PLF "$ 629.84 M"
26 XMR "$ 1.66 B"
27 SENSO "$ 1.18 B"
28 TRX "$ 1.35 B"
29 GAPS "$ 1.04 B"
30 USDC "$ 1.09 B"
31 NEO "$ 1.30 B"
32 FTT "$ 1.22 B"
33 VET "$ 1.08 B"
34 RSR "$ 1.16 B"
35 HEX "$ 1.18 B"
36 VEST "$ 192.52 M"
37 LEO "$ 847.65 M"
38 ATOM "$ 797.84 M"
39 GIX "$ 813.85 M"
40 ETC "$ 856.04 M"
41 DASH "$ 968.19 M"
42 MIOTA "$ 863.60 M"
43 ZEC "$ 967.74 M"
44 XTP "$ 553.95 M"
45 TMTG "$ 292.05 M"
46 ZB "$ 525.83 M"
47 MKR "$ 590.63 M"
48 ONT "$ 453.03 M"
49 XEM "$ 551.48 M"
50 ZRX "$ 408.30 M"
51 BTT "$ 349.30 M"
52 BAT "$ 385.20 M"
53 DOGE "$ 441.78 M"
54 BTMX "$ 742.13 M"
55 LEND "$ 476.43 M"
56 KNC "$ 339.69 M"
57 QNT "$ 343.50 M"
58 DKA "$ 241.69 M"
59 CNTM "$ 272.74 M"
60 OGN "$ 322.49 M"
61 BOTX "$ 493.91 M"
62 DGB "$ 364.10 M"
63 GNO "$ 316.50 M"
64 DEP "$ 225.81 M"
65 CEL "$ 277.44 M"
66 BAND "$ 798.47 M"
67 SXP "$ 563.02 M"
68 PAX "$ 264.37 M"
69 THETA "$ 317.20 M"
70 ME "$ 162.30 M"
71 QTUM "$ 275.10 M"
72 NMR "$ 206.42 M"
73 REP "$ 236.17 M"
74 MATIC "$ 217.58 M"
75 HIVE "$ 230.17 M"
76 OMG "$ 225.09 M"
77 DX "$ 241.82 M"
78 CRE "$ 248.47 M"
79 NEXO "$ 185.59 M"
80 OXT "$ 171.40 M"
81 LSK "$ 220.81 M"
82 BHT "$ 176.61 M"
83 ALGO "$ 226.87 M"
84 DCR "$ 194.44 M"
85 ZIL "$ 197.93 M"
86 ENJ "$ 192.65 M"
87 THR "$ 228.39 M"
88 ORBS "$ 168.18 M"
89 SNT "$ 182.48 M"
90 XPR "$ 168.18 M"
91 HDAO "$ 112.32 M"
92 LRC "$ 183.93 M"
93 SOLO "$ 275.08 M"
94 MWC "$ 140.51 M"
95 REN "$ 230.64 M"
96 BCD "$ 153.35 M"
97 ICX "$ 155.48 M"
98 GT "$ 167.49 M"
99 BTG "$ 175.39 M"
100 AURO "$ 142.31 M"
